S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,27,1191.00,1490828.00,1273.00,1235.00,1260.00
2,2021-12-28,50,2630.00,3312101.20,1289.00,1240.10,1240.10
3,2021-12-27,66,3482.00,4500212.50,1350.00,1265.00,1271.00
4,2021-12-26,86,4575.00,5976666.30,1336.00,1293.60,1336.00
5,2021-12-23,103,3289.00,4229766.90,1334.00,1260.00,1272.00
6,2021-12-22,99,4840.00,6077945.90,1278.20,1185.00,1263.00
7,2021-12-21,48,2320.00,2692122.00,1184.00,1135.00,1162.00
8,2021-12-20,51,1916.00,2166695.80,1152.00,1120.00,1127.00
9,2021-12-16,69,2500.00,2894649.30,1220.00,1130.00,1130.00
10,2021-12-15,113,3559.00,4358142.50,1252.00,1170.00,1199.00
11,2021-12-14,64,2294.00,2617799.50,1188.00,1081.00,1188.00
12,2021-12-13,80,3798.00,4114337.00,1117.20,1041.00,1080.00
13,2021-12-12,66,2266.00,2665618.30,1240.00,1140.00,1140.00
14,2021-12-09,56,2233.00,2735198.40,1260.00,1210.00,1221.00
15,2021-12-08,50,1800.00,2334808.20,1360.00,1271.00,1271.00
16,2021-12-07,69,2207.00,2978639.10,1382.10,1323.00,1349.00
17,2021-12-06,140,5982.00,7872401.00,1374.00,1270.00,1355.00
18,2021-12-05,171,5409.00,7605655.10,1530.00,1381.10,1381.10
19,2021-12-02,394,13409.00,26337258.20,1982.00,1950.00,1971.00
20,2021-12-01,135,5717.00,11244102.00,2030.00,1940.00,1940.00
21,2021-11-30,61,3448.00,6876520.30,2015.00,1961.00,1994.00
22,2021-11-29,105,4651.00,9254052.70,2010.00,1960.00,1991.00
23,2021-11-28,118,7508.00,15062240.30,2084.00,1971.00,1980.00
24,2021-11-25,90,3145.00,6436427.40,2068.00,2031.30,2044.00
25,2021-11-24,83,2529.00,5111303.20,2036.00,2010.00,2030.00
26,2021-11-23,82,3801.00,7629028.50,2039.00,1988.00,2020.00
27,2021-11-22,92,5658.00,11353343.20,2045.00,1995.00,2020.00
28,2021-11-21,68,2429.00,4902257.40,2040.00,2000.00,2024.00
29,2021-11-18,63,2210.00,4518084.50,2080.00,2031.10,2033.00
30,2021-11-17,128,6211.00,13051391.80,2169.00,2060.00,2079.00
31,2021-11-16,79,3501.00,7268953.20,2174.00,2026.00,2130.00
32,2021-11-15,60,3197.00,6519375.90,2090.00,2000.00,2035.00
33,2021-11-14,65,3350.00,6825728.10,2078.00,2001.00,2013.00
34,2021-11-11,91,3478.00,7085017.00,2080.00,2001.00,2038.00
35,2021-11-09,112,5274.00,10867637.20,2110.00,2030.00,2065.00
36,2021-11-08,88,3968.00,8560964.00,2229.90,2100.00,2135.00
37,2021-11-03,69,2963.00,6378857.20,2173.00,2140.00,2145.00
38,2021-11-02,73,2858.00,6195676.20,2200.00,2135.00,2190.00
39,2021-11-01,177,9878.00,21896301.60,2306.20,2180.00,2183.00
40,2021-10-31,336,23305.00,51030651.70,2268.00,2070.00,2261.00
41,2021-10-28,141,6011.00,12443735.70,2119.00,2045.00,2070.00
42,2021-10-27,147,7204.00,15060894.80,2117.00,2051.00,2078.00
43,2021-10-26,153,11336.00,23614486.70,2100.00,2060.00,2090.00
44,2021-10-25,155,13258.00,26943833.00,2090.00,1971.00,2090.00
45,2021-10-24,76,3822.00,7504842.70,1975.00,1930.00,1970.00
46,2021-10-21,44,1434.00,2777287.00,1961.00,1927.00,1930.00
47,2021-10-20,113,8392.00,16499576.90,2020.00,1946.00,1960.00
48,2021-10-19,144,5686.00,10893758.10,1957.10,1868.00,1927.00
49,2021-10-18,157,8638.00,17513076.80,2100.00,1988.00,1997.00
50,2021-10-17,94,7728.00,16240776.30,2140.00,2080.00,2098.00
51,2021-10-11,263,21661.00,44914066.50,2135.00,2025.00,2100.00
52,2021-10-10,520,35779.00,76632643.50,2185.00,2107.00,2135.00
53,2021-10-06,174,14218.00,29513748.40,2084.50,1932.90,2084.50
54,2021-10-05,105,6241.00,11663679.60,1930.00,1820.00,1895.00
55,2021-10-04,109,6669.00,11971605.70,1825.90,1681.50,1825.00
56,2021-10-03,66,3317.00,5616489.70,1715.00,1661.00,1715.00
57,2021-09-30,58,2849.00,4787778.60,1706.00,1650.00,1680.00
58,2021-09-29,44,1728.00,2847684.40,1675.00,1605.00,1670.00
59,2021-09-28,77,3983.00,6593836.60,1695.00,1633.00,1633.00
60,2021-09-27,58,2385.00,4017619.70,1740.00,1662.00,1662.00
61,2021-09-26,33,1335.00,2291159.80,1764.00,1700.10,1712.00
62,2021-09-23,56,3797.00,6631942.50,1775.00,1721.00,1763.00
63,2021-09-22,72,2952.00,5116447.90,1785.00,1695.00,1750.00
64,2021-09-21,60,1587.00,2667601.00,1745.00,1627.00,1662.00
65,2021-09-20,108,4912.00,8168649.00,1720.00,1632.70,1650.00
66,2021-09-16,116,8287.00,14181815.70,1770.00,1680.00,1703.00
67,2021-09-15,78,4558.00,8029134.10,1810.00,1740.00,1778.00
68,2021-09-14,31,1390.00,2516639.20,1830.00,1800.00,1810.00
69,2021-09-13,60,2791.00,5081631.50,1841.00,1811.00,1814.00
70,2021-09-12,55,1613.00,2918595.70,1825.00,1780.00,1810.00
71,2021-09-09,43,746.00,1340577.50,1825.00,1779.00,1801.00
72,2021-09-08,69,2656.00,4774424.20,1838.90,1770.00,1801.00
73,2021-09-07,71,2390.00,4325689.00,1900.00,1782.00,1801.00
74,2021-09-06,60,3756.00,6959179.90,1915.00,1795.00,1889.90
75,2021-09-05,59,1707.00,3092307.90,1869.80,1762.00,1823.00
76,2021-09-02,84,5267.00,9917927.90,1923.00,1860.00,1880.00
77,2021-09-01,98,4018.00,7539529.80,1917.00,1857.00,1886.00
78,2021-08-31,147,11453.00,21839697.00,1960.00,1876.00,1880.00
79,2021-08-29,74,2629.00,5226228.00,2015.00,1960.00,1980.00
80,2021-08-26,84,7095.00,14373455.60,2043.00,2004.00,2024.00
81,2021-08-25,70,2887.00,5890018.00,2055.00,2021.00,2022.00
82,2021-08-24,76,2671.00,5526907.50,2090.00,2036.00,2062.00
83,2021-08-19,127,5409.00,11385706.60,2140.00,2057.00,2075.00
84,2021-08-18,82,2131.00,4458376.30,2145.00,2070.00,2082.00
85,2021-08-17,114,4862.00,10246537.90,2135.00,2096.00,2109.00
86,2021-08-16,156,8043.00,17144682.70,2165.40,2100.00,2127.00
87,2021-08-15,248,13031.00,27260288.50,2151.90,2026.00,2123.00
88,2021-08-12,156,6672.00,13618957.60,2063.00,1970.00,2050.00
89,2021-08-11,73,1452.00,2975469.50,2089.00,2020.00,2050.00
90,2021-08-10,167,6551.00,13386708.30,2101.00,1960.20,2050.00
91,2021-08-09,76,2868.00,5728797.10,2030.80,1968.20,1995.00
92,2021-08-08,95,6047.00,12188902.40,2050.00,1980.00,1991.00
93,2021-08-05,83,4157.00,8534779.70,2080.00,2005.00,2060.00
94,2021-08-04,159,10797.00,22373630.10,2168.50,2040.00,2079.00
95,2021-08-03,146,8778.00,18886149.20,2183.00,2117.00,2126.00
96,2021-08-02,241,16626.00,34461430.50,2110.00,2019.00,2100.00
97,2021-08-01,135,8685.00,17726310.40,2080.00,1990.00,1990.00
98,2021-07-29,104,7532.00,15303239.70,2075.00,1993.00,2010.00
99,2021-07-28,192,9858.00,19968627.70,2109.00,1950.00,2015.00
100,2021-07-27,162,8375.00,16336652.20,2000.00,1932.00,1960.00
101,2021-07-26,205,9200.00,18499536.70,2040.00,1975.00,2018.10
102,2021-07-25,134,4631.00,9066224.60,1980.00,1930.00,1979.90
103,2021-07-22,161,8276.00,16068549.10,1960.00,1916.00,1950.00
104,2021-07-20,88,6515.00,12522601.50,1939.00,1900.10,1914.00
105,2021-07-19,87,4648.00,8966788.90,1979.00,1887.00,1925.00
106,2021-07-18,158,6005.00,11295376.90,1907.00,1825.00,1903.00
107,2021-07-15,80,2360.00,4278506.00,1825.00,1790.00,1815.00
108,2021-07-14,38,2261.00,4061528.00,1808.00,1765.00,1790.00
109,2021-07-13,29,1722.00,3090505.00,1869.00,1731.00,1790.00
110,2021-07-12,55,4186.00,7509100.00,1820.00,1760.00,1763.00
111,2021-07-11,80,2754.00,4928389.00,1829.00,1725.00,1817.00
112,2021-07-08,47,1147.00,1979363.00,1750.00,1680.00,1740.00
113,2021-07-07,40,1027.00,1750915.00,1720.00,1661.00,1704.00
114,2021-07-06,38,1301.00,2170389.00,1690.00,1657.00,1675.00
115,2021-07-05,40,1848.00,3131372.00,1715.00,1685.00,1690.00
116,2021-07-04,53,994.00,1716995.00,1773.00,1710.00,1715.00
117,2021-07-01,66,2965.00,5110877.00,1740.00,1711.00,1739.00
118,2021-06-30,41,1304.00,2295973.00,1779.00,1732.00,1745.00
119,2021-06-29,107,5104.00,9242339.00,1846.00,1760.00,1798.00
120,2021-06-28,83,3861.00,6600751.00,1783.00,1641.00,1775.00
121,2021-06-27,75,2045.00,3329140.00,1672.00,1616.00,1641.00
122,2021-06-24,63,913.00,1499007.00,1695.00,1614.00,1636.00
123,2021-06-23,62,3032.00,5024658.00,1700.00,1638.00,1641.00
124,2021-06-22,64,2849.00,4863083.00,1720.00,1681.00,1685.00
125,2021-06-21,99,3384.00,5777060.00,1765.00,1681.00,1686.00
126,2021-06-20,74,3964.00,6944630.00,1810.00,1720.00,1750.00
127,2021-06-17,54,2675.00,4855728.00,1836.00,1800.00,1800.00
128,2021-06-16,150,10103.00,18521922.00,1870.00,1755.00,1822.00
129,2021-06-15,76,2094.00,3696063.00,1799.00,1751.00,1780.00
130,2021-06-14,103,3665.00,6496649.00,1815.00,1752.00,1780.00
131,2021-06-13,155,6272.00,11239419.00,1809.00,1730.00,1780.00
132,2021-06-10,71,3687.00,6496180.00,1785.00,1753.00,1764.00
133,2021-06-09,62,2502.00,4490240.00,1839.00,1764.00,1777.00
134,2021-06-08,91,6767.00,12175529.00,1819.00,1761.00,1812.00
135,2021-06-07,50,2402.00,4303910.00,1811.00,1781.00,1784.00
136,2021-06-06,93,3504.00,6362573.00,1828.00,1771.00,1811.00
137,2021-06-03,106,5343.00,9670885.00,1840.00,1795.00,1804.00
138,2021-06-02,114,5276.00,9398820.00,1800.00,1730.00,1798.00
139,2021-06-01,63,2347.00,4155502.00,1800.00,1730.00,1770.00
140,2021-05-31,96,5080.00,9014703.00,1800.00,1761.00,1765.00
141,2021-05-30,117,6950.00,12493139.00,1830.00,1785.00,1788.00
142,2021-05-27,304,14458.00,25976050.00,1856.00,1751.00,1825.00
143,2021-05-25,51,2208.00,4164879.00,1910.00,1880.00,1880.00
144,2021-05-24,108,7838.00,14896846.00,1910.00,1893.00,1900.00
145,2021-05-23,90,3594.00,6801087.00,1910.00,1855.00,1896.00
146,2021-05-20,122,8400.00,16005934.00,1918.00,1883.00,1907.00
147,2021-05-19,157,8873.00,17245530.00,2002.00,1903.00,1905.00
148,2021-05-18,213,17049.00,32868180.00,1974.00,1901.00,1964.00
149,2021-05-17,248,21967.00,41749233.00,1930.00,1865.00,1905.00
150,2021-05-16,171,10877.00,20310239.00,1900.00,1830.00,1885.00
151,2021-05-13,349,30932.00,56559516.00,1862.00,1783.00,1846.00
152,2021-05-12,187,11973.00,21373112.00,1808.00,1765.00,1783.00
153,2021-05-11,153,13149.00,23448465.00,1810.00,1758.00,1775.00
154,2021-05-10,83,7210.00,12412924.00,1750.00,1700.00,1749.00
155,2021-05-09,149,18111.00,31300438.00,1768.00,1704.00,1709.00
156,2021-05-06,234,14095.00,24527748.00,1770.00,1721.00,1755.00
157,2021-05-05,202,10425.00,18950364.00,1865.00,1791.00,1801.00
158,2021-05-04,258,21220.00,38538247.00,1884.00,1687.00,1859.00
159,2021-05-03,378,27985.00,48886512.00,1789.00,1700.00,1775.00
160,2021-05-02,317,29080.00,48163720.00,1713.00,1628.00,1698.00
161,2021-04-29,113,9795.00,15880532.00,1637.00,1575.00,1628.00
162,2021-04-28,53,2501.00,3997216.00,1648.00,1580.00,1595.00
163,2021-04-27,96,9791.00,15634018.00,1611.00,1550.00,1611.00
164,2021-04-26,113,6159.00,9570453.00,1638.00,1525.00,1540.00
165,2021-04-25,134,6842.00,10899508.00,1635.00,1565.00,1575.00
166,2021-04-22,113,8371.00,13300922.00,1615.00,1553.00,1604.00
167,2021-04-21,82,4143.00,6551985.00,1597.00,1574.00,1580.00
