S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,1,61669.00,14800560.00,240.00,240.00,240.00
2,2018-02-07,1,11335.00,1416875.00,125.00,125.00,125.00
3,2016-12-20,1,4840.00,909920.00,188.00,188.00,188.00
4,2016-08-02,1,50000.00,9400000.00,188.00,188.00,188.00
5,2014-07-16,2,74289.00,10400460.00,140.00,140.00,140.00
