symbol,days,start_date,end_date,file
MLBBL,1300,2014-06-26,2021-12-29,stock_daily_MLBBL.csv
SIFC,1299,2010-04-15,2021-12-29,stock_daily_SIFC.csv
MFIL,1288,2012-11-08,2021-12-29,stock_daily_MFIL.csv
JBNL,1287,2012-07-15,2019-08-26,stock_daily_JBNL.csv
MEGA,1282,2013-09-08,2021-12-29,stock_daily_MEGA.csv
GUFL,1266,2010-04-15,2021-12-29,stock_daily_GUFL.csv
NMBMF,1258,2015-12-21,2021-12-29,stock_daily_NMBMF.csv
HIDCL,1243,2016-07-12,2021-12-29,stock_daily_HIDCL.csv
RBCLPO,1236,2015-01-08,2021-12-29,stock_daily_RBCLPO.csv
GMFIL,1225,2010-05-18,2021-12-29,stock_daily_GMFIL.csv
NIBSF1,1222,2015-02-18,2021-12-29,stock_daily_NIBSF1.csv
KNBL,1206,2011-02-10,2019-06-04,stock_daily_KNBL.csv
NGPL,1187,2016-09-07,2021-12-29,stock_daily_NGPL.csv
IGI,1186,2010-06-15,2021-12-29,stock_daily_IGI.csv
GILB,1179,2015-12-21,2021-12-29,stock_daily_GILB.csv
PROFL,1159,2010-04-19,2021-12-29,stock_daily_PROFL.csv
JSLBB,1141,2015-12-10,2021-12-29,stock_daily_JSLBB.csv
HDL,1139,2010-06-07,2021-12-29,stock_daily_HDL.csv
GRDBL,1110,2016-11-24,2021-12-29,stock_daily_GRDBL.csv
MERO,1082,2016-09-05,2021-12-29,stock_daily_MERO.csv
KKHC,1077,2017-01-11,2021-12-29,stock_daily_KKHC.csv
MMFDB,1070,2015-08-25,2021-12-29,stock_daily_MMFDB.csv
RSDC,1065,2017-02-08,2021-12-29,stock_daily_RSDC.csv
AKPL,1063,2017-04-16,2021-12-29,stock_daily_AKPL.csv
NEF,1062,2017-02-02,2021-12-29,stock_daily_NEF.csv
SBBLJ,1034,2010-04-15,2019-07-07,stock_daily_SBBLJ.csv
FOWAD,1029,2017-05-21,2021-12-29,stock_daily_FOWAD.csv
SPDL,1027,2017-05-16,2021-12-29,stock_daily_SPDL.csv
MSMBS,1025,2015-12-08,2021-01-21,stock_daily_MSMBS.csv
NMBHF1,1025,2017-01-24,2021-12-29,stock_daily_NMBHF1.csv
UMHL,1025,2017-05-30,2021-12-29,stock_daily_UMHL.csv
UNL,1025,2010-05-18,2021-12-29,stock_daily_UNL.csv
NMFBS,1021,2017-02-08,2021-12-29,stock_daily_NMFBS.csv
DHPL,1006,2017-02-13,2021-12-29,stock_daily_DHPL.csv
HPPL,982,2017-08-20,2021-12-29,stock_daily_HPPL.csv
BNT,972,2010-12-22,2021-12-29,stock_daily_BNT.csv
MPFL,969,2012-02-12,2021-12-29,stock_daily_MPFL.csv
CHL,941,2017-08-03,2021-12-29,stock_daily_CHL.csv
KLBSL,934,2015-12-08,2021-12-29,stock_daily_KLBSL.csv
NHDL,896,2017-11-14,2021-12-29,stock_daily_NHDL.csv
NIBLPF,891,2017-04-02,2021-12-29,stock_daily_NIBLPF.csv
SFCL,882,2010-04-20,2021-12-29,stock_daily_SFCL.csv
BHBL,876,2012-04-02,2019-05-14,stock_daily_BHBL.csv
BFC,866,2010-07-04,2021-12-29,stock_daily_BFC.csv
CORBL,860,2011-08-17,2021-12-29,stock_daily_CORBL.csv
